time;signatures
2024-07-30T00:00:00.000;0
2024-07-31T00:00:00.000;811
2024-08-01T00:00:00.000;29862
2024-08-02T00:00:00.000;56302
2024-08-03T00:00:00.000;118665
2024-08-04T00:00:00.000;149359
2024-08-05T00:00:00.000;159453
2024-08-06T00:00:00.000;182531
2024-08-07T00:00:00.000;196702
2024-08-08T00:00:00.000;207521
2024-08-09T00:00:00.000;216031
2024-08-10T00:00:00.000;227471
2024-08-11T00:00:00.000;233678
2024-08-12T00:00:00.000;245878
2024-08-13T00:00:00.000;253049
2024-08-14T00:00:00.000;256136
2024-08-15T00:00:00.000;261354
2024-08-16T00:00:00.000;264357
2024-08-17T00:00:00.000;270040
2024-08-18T00:00:00.000;280703
2024-08-19T00:00:00.000;287315
2024-08-20T00:00:00.000;293734
2024-08-21T00:00:00.000;297064
2024-08-22T00:00:00.000;305798
2024-08-23T00:00:00.000;310744
2024-08-24T00:00:00.000;315380
2024-08-25T00:00:00.000;318961
2024-08-26T00:00:00.000;322523
2024-08-27T00:00:00.000;324424
2024-08-28T00:00:00.000;326480
2024-08-29T00:00:00.000;327696
2024-08-30T00:00:00.000;329243
2024-08-31T00:00:00.000;330304
2024-09-01T00:00:00.000;331495
2024-09-02T00:00:00.000;332955
2024-09-03T00:00:00.000;335746
2024-09-04T00:00:00.000;337220
2024-09-05T00:00:00.000;338454
2024-09-06T00:00:00.000;340120
2024-09-07T00:00:00.000;343857
2024-09-08T00:00:00.000;345987
2024-09-09T00:00:00.000;348470
2024-09-10T00:00:00.000;349872
2024-09-11T00:00:00.000;352036
2024-09-12T00:00:00.000;353557
2024-09-13T00:00:00.000;354333
2024-09-14T00:00:00.000;355021
2024-09-15T00:00:00.000;355678
2024-09-16T00:00:00.000;356251
2024-09-17T00:00:00.000;356766
2024-09-18T00:00:00.000;357155
2024-09-19T00:00:00.000;357549
2024-09-20T00:00:00.000;357916
2024-09-21T00:00:00.000;358548
2024-09-22T00:00:00.000;358980
2024-09-23T00:00:00.000;359328
2024-09-24T00:00:00.000;359760
2024-09-25T00:00:00.000;360124
2024-09-26T00:00:00.000;360434
2024-09-27T00:00:00.000;360935
2024-09-28T00:00:00.000;361351
2024-09-29T00:00:00.000;361807
2024-09-30T00:00:00.000;362157
2024-10-01T00:00:00.000;362629
2024-10-02T00:00:00.000;363146
2024-10-03T00:00:00.000;363946
2024-10-04T00:00:00.000;364314
2024-10-05T00:00:00.000;364752
2024-10-06T00:00:00.000;365270
2024-10-07T00:00:00.000;366419
2024-10-08T00:00:00.000;367412
2024-10-09T00:00:00.000;368024
2024-10-10T00:00:00.000;368407
2024-10-11T00:00:00.000;368736
2024-10-12T00:00:00.000;369517
2024-10-13T00:00:00.000;370277
2024-10-14T00:00:00.000;370771
2024-10-15T00:00:00.000;371286
2024-10-16T00:00:00.000;371574
2024-10-17T00:00:00.000;371805
2024-10-18T00:00:00.000;372024
2024-10-19T00:00:00.000;372244
2024-10-20T00:00:00.000;372482
2024-10-21T00:00:00.000;372741
2024-10-22T00:00:00.000;373027
2024-10-23T00:00:00.000;373324
2024-10-24T00:00:00.000;373643
2024-10-25T00:00:00.000;374083
2024-10-26T00:00:00.000;374491
2024-10-27T00:00:00.000;374874
2024-10-28T00:00:00.000;375220
2024-10-29T00:00:00.000;375867
2024-10-30T00:00:00.000;376109
2024-10-31T00:00:00.000;376293
2024-11-01T00:00:00.000;376484
2024-11-02T00:00:00.000;376699
2024-11-03T00:00:00.000;376928
2024-11-04T00:00:00.000;377138
2024-11-05T00:00:00.000;377344
2024-11-06T00:00:00.000;377641
2024-11-07T00:00:00.000;377931
2024-11-08T00:00:00.000;378154
2024-11-09T00:00:00.000;378463
2024-11-10T00:00:00.000;378703
2024-11-11T00:00:00.000;379130
2024-11-12T00:00:00.000;380085
2024-11-13T00:00:00.000;381754
2024-11-14T00:00:00.000;384056
2024-11-15T00:00:00.000;385894
2024-11-16T00:00:00.000;386680
2024-11-17T00:00:00.000;387324
2024-11-18T00:00:00.000;388326
2024-11-19T00:00:00.000;388898
2024-11-20T00:00:00.000;390021
2024-11-21T00:00:00.000;390613
2024-11-22T00:00:00.000;391257
2024-11-23T00:00:00.000;391712
2024-11-24T00:00:00.000;392247
2024-11-25T00:00:00.000;392608
2024-11-26T00:00:00.000;393388
2024-11-27T00:00:00.000;394195
2024-11-28T00:00:00.000;394979
2024-11-29T00:00:00.000;395457
2024-11-30T00:00:00.000;395808
2024-12-01T00:00:00.000;396054
2024-12-02T00:00:00.000;396362
2024-12-03T00:00:00.000;397074
2024-12-04T00:00:00.000;397363
2024-12-05T00:00:00.000;397564
2024-12-06T00:00:00.000;397714
2024-12-07T00:00:00.000;397826
2024-12-08T00:00:00.000;397941
2024-12-09T00:00:00.000;398136
2024-12-10T00:00:00.000;398325
2024-12-11T00:00:00.000;398440
2024-12-12T00:00:00.000;398580
2024-12-13T00:00:00.000;398719
2024-12-14T00:00:00.000;398821
2024-12-15T00:00:00.000;398973
2024-12-16T00:00:00.000;399195
2024-12-17T00:00:00.000;399350
2024-12-18T00:00:00.000;399591
2024-12-19T00:00:00.000;400376
2024-12-20T00:00:00.000;400705
2024-12-21T00:00:00.000;400861
2024-12-22T00:00:00.000;401017
2024-12-23T00:00:00.000;401247
2024-12-24T00:00:00.000;401424
2024-12-25T00:00:00.000;401587
2024-12-26T00:00:00.000;401724
2024-12-27T00:00:00.000;401943
2024-12-28T00:00:00.000;402056
2024-12-29T00:00:00.000;402195
2024-12-30T00:00:00.000;402331
2024-12-31T00:00:00.000;402484
2025-01-01T00:00:00.000;402683
2025-01-02T00:00:00.000;402888
2025-01-03T00:00:00.000;403068
2025-01-04T00:00:00.000;403226
2025-01-05T00:00:00.000;403385
2025-01-06T00:00:00.000;403533
2025-01-07T00:00:00.000;403650
2025-01-08T00:00:00.000;403735
2025-01-09T00:00:00.000;403828
2025-01-10T00:00:00.000;403930
2025-01-11T00:00:00.000;404059
2025-01-12T00:00:00.000;404203
2025-01-13T00:00:00.000;404392
2025-01-14T00:00:00.000;404732
2025-01-16T00:00:00.000;405149
2025-01-17T00:00:00.000;405275
2025-01-18T00:00:00.000;405506
2025-01-19T00:00:00.000;405845
2025-01-20T00:00:00.000;406121
2025-01-21T00:00:00.000;406328
2025-01-22T00:00:00.000;406500
2025-01-23T00:00:00.000;406617
2025-01-24T00:00:00.000;408172
2025-01-25T00:00:00.000;409224
2025-01-26T00:00:00.000;409991
2025-01-27T00:00:00.000;410558
2025-01-28T00:00:00.000;410848
2025-01-29T00:00:00.000;411094
2025-01-30T00:00:00.000;411392
2025-01-31T00:00:00.000;411581
2025-02-01T00:00:00.000;411706
2025-02-02T00:00:00.000;412277
2025-02-03T00:00:00.000;412891
2025-02-04T00:00:00.000;413200
2025-02-05T00:00:00.000;413467
2025-02-06T00:00:00.000;414069
2025-02-07T00:00:00.000;414367
2025-02-08T00:00:00.000;414621
2025-02-09T00:00:00.000;414965
2025-02-10T00:00:00.000;415189
2025-02-11T00:00:00.000;415385
2025-02-12T00:00:00.000;415564
2025-02-13T00:00:00.000;415724
2025-02-14T00:00:00.000;415833
2025-02-15T00:00:00.000;415946
2025-02-16T00:00:00.000;416150
2025-02-17T00:00:00.000;416285
2025-02-18T00:00:00.000;416477
2025-02-19T00:00:00.000;416591
2025-02-20T00:00:00.000;416689
2025-02-21T00:00:00.000;416776
2025-02-22T00:00:00.000;416874
2025-02-23T00:00:00.000;416949
2025-02-24T00:00:00.000;417087
2025-02-25T00:00:00.000;417202
2025-02-26T00:00:00.000;417307
2025-02-27T00:00:00.000;417399
2025-02-28T00:00:00.000;417477
2025-03-01T00:00:00.000;417548
2025-03-02T00:00:00.000;417609
2025-03-03T00:00:00.000;417675
2025-03-04T00:00:00.000;417755
2025-03-05T00:00:00.000;417858
2025-03-06T00:00:00.000;417917
2025-03-07T00:00:00.000;417978
2025-03-08T00:00:00.000;418029
2025-03-09T00:00:00.000;418118
2025-03-10T00:00:00.000;418193
2025-03-11T00:00:00.000;418249
2025-03-12T00:00:00.000;418361
2025-03-13T00:00:00.000;418891
2025-03-14T00:00:00.000;419100
2025-03-15T00:00:00.000;419171
2025-03-16T00:00:00.000;419272
2025-03-17T00:00:00.000;419339
2025-03-18T00:00:00.000;419410
2025-03-19T00:00:00.000;419513
2025-03-20T00:00:00.000;419607
2025-03-21T00:00:00.000;419686
2025-03-22T00:00:00.000;419787
2025-03-23T00:00:00.000;420216
2025-03-24T00:00:00.000;420556
2025-03-25T00:00:00.000;421117
2025-03-26T00:00:00.000;422277
2025-03-27T00:00:00.000;422829
2025-03-28T00:00:00.000;423020
2025-03-29T00:00:00.000;423235
2025-03-30T00:00:00.000;423404
2025-03-31T00:00:00.000;423733
2025-04-01T00:00:00.000;423942
2025-04-02T00:00:00.000;424039
2025-04-03T00:00:00.000;424161
2025-04-04T00:00:00.000;424421
2025-04-05T00:00:00.000;424642
2025-04-06T00:00:00.000;425008
2025-04-07T00:00:00.000;425221
2025-04-08T00:00:00.000;425342
2025-04-09T00:00:00.000;425439
2025-04-10T00:00:00.000;425927
2025-04-11T00:00:00.000;427447
2025-04-12T00:00:00.000;429570
2025-04-13T00:00:00.000;430651
2025-04-14T00:00:00.000;431238
2025-04-15T00:00:00.000;432294
2025-04-16T00:00:00.000;433604
2025-04-17T00:00:00.000;434454
2025-04-18T00:00:00.000;435392
2025-04-19T00:00:00.000;435980
2025-04-20T00:00:00.000;436350
2025-04-21T00:00:00.000;436839
2025-04-22T00:00:00.000;437176
2025-04-23T00:00:00.000;437394
2025-04-24T00:00:00.000;437605
2025-04-25T00:00:00.000;437929
2025-04-26T00:00:00.000;438062
2025-04-27T00:00:00.000;438170
2025-04-28T00:00:00.000;438444
2025-04-29T00:00:00.000;439041
2025-04-30T00:00:00.000;439921
2025-05-01T00:00:00.000;440245
2025-05-02T00:00:00.000;440426
2025-05-03T00:00:00.000;440580
2025-05-04T00:00:00.000;440696
2025-05-05T00:00:00.000;440811
2025-05-06T00:00:00.000;440908
2025-05-07T00:00:00.000;440978
2025-05-08T00:00:00.000;441210
2025-05-09T00:00:00.000;441317
2025-05-10T00:00:00.000;441406
2025-05-11T00:00:00.000;441568
2025-05-12T00:00:00.000;441749
2025-05-13T00:00:00.000;442131
2025-05-14T00:00:00.000;442439
2025-05-15T00:00:00.000;442848
2025-05-16T00:00:00.000;443919
2025-05-17T00:00:00.000;444512
2025-05-18T00:00:00.000;444901
2025-05-19T00:00:00.000;445243
2025-05-20T00:00:00.000;445602
2025-05-21T00:00:00.000;445780
2025-05-22T00:00:00.000;446131
2025-05-23T00:00:00.000;446447
2025-05-24T00:00:00.000;446590
2025-05-25T00:00:00.000;446907
2025-05-26T00:00:00.000;447124
2025-05-27T00:00:00.000;447537
2025-05-28T00:00:00.000;447776
2025-05-29T00:00:00.000;447929
2025-05-30T00:00:00.000;448168
2025-05-31T00:00:00.000;448418
2025-06-01T00:00:00.000;448624
2025-06-02T00:00:00.000;448871
2025-06-03T00:00:00.000;449118
2025-06-04T00:00:00.000;449364
2025-06-05T00:00:00.000;449611
2025-06-06T00:00:00.000;449858
2025-06-07T00:00:00.000;450105
2025-06-08T00:00:00.000;450352
2025-06-09T00:00:00.000;450599
2025-06-10T00:00:00.000;450845
2025-06-11T00:00:00.000;451092
2025-06-12T00:00:00.000;451339
2025-06-13T00:00:00.000;451586
2025-06-14T00:00:00.000;451833
2025-06-15T00:00:00.000;452080
2025-06-16T00:00:00.000;452326
2025-06-17T00:00:00.000;452573
2025-06-18T00:00:00.000;452820
2025-06-19T00:00:00.000;453213
2025-06-20T00:00:00.000;453499
2025-06-21T00:00:00.000;453831
2025-06-22T00:00:00.000;454030
2025-06-23T00:00:00.000;454846
2025-06-24T00:00:00.000;465693
2025-06-25T00:00:00.000;514223
2025-06-26T00:00:00.000;563221
2025-06-27T00:00:00.000;596278
2025-06-28T00:00:00.000;626730
2025-06-29T00:00:00.000;652973
2025-06-30T00:00:00.000;685267
2025-07-01T00:00:00.000;754233
2025-07-02T00:00:00.000;892880

